recording_id,dataset_id,subject_id,label,target,valid_windows,rejected_windows,acc__rms__median,acc__rms__iqr,acc__std__median,acc__std__iqr,acc__mad__median,acc__mad__iqr,acc__jerk_rms__median,acc__jerk_rms__iqr,acc__zcr__median,acc__zcr__iqr,acc__log_power_3_12__median,acc__log_power_3_12__iqr,acc__dominant_hz__median,acc__dominant_hz__iqr,acc__peak_ratio__median,acc__peak_ratio__iqr,acc__spectral_entropy__median,acc__spectral_entropy__iqr,acc__tremor_total_ratio__median,acc__tremor_total_ratio__iqr,acc__ratio_3_6__median,acc__ratio_3_6__iqr,acc__ratio_6_9__median,acc__ratio_6_9__iqr,acc__ratio_9_12__median,acc__ratio_9_12__iqr,gyro__rms__median,gyro__rms__iqr,gyro__std__median,gyro__std__iqr,gyro__mad__median,gyro__mad__iqr,gyro__jerk_rms__median,gyro__jerk_rms__iqr,gyro__zcr__median,gyro__zcr__iqr,gyro__log_power_3_12__median,gyro__log_power_3_12__iqr,gyro__dominant_hz__median,gyro__dominant_hz__iqr,gyro__peak_ratio__median,gyro__peak_ratio__iqr,gyro__spectral_entropy__median,gyro__spectral_entropy__iqr,gyro__tremor_total_ratio__median,gyro__tremor_total_ratio__iqr,gyro__ratio_3_6__median,gyro__ratio_3_6__iqr,gyro__ratio_6_9__median,gyro__ratio_6_9__iqr,gyro__ratio_9_12__median,gyro__ratio_9_12__iqr
dataset_a:imu_20260721_223610,dataset_a,BIBI,non_tremor,0,19,0,0.010032975476659581,0.014901375383928644,0.005400360050385907,0.009027349941568832,0.002713244641984232,0.004156348732322038,0.17400337008423877,0.23830488647255693,0.23232323232323232,0.1111111111111111,-4.2263351948257775,1.0027363152197095,3.5,2.0,0.26911029596624164,0.08682229783900625,0.7761764926110855,0.1137664512900084,0.7318125503297908,0.22186896385986765,0.6642638034515209,0.22077025803607198,0.15554306729761025,0.11709673670476789,0.061833455663114024,0.08170654004957154,1.8921057151326433,2.9431389167375106,0.9789070923186921,1.6984322945846344,0.6044752381497431,0.9047156700553317,29.22157531304185,35.9008543852826,0.16161616161616163,0.11616161616161617,0.24640754397496603,1.0717035545012907,4.0,2.0,0.24031812957377885,0.07019980734652653,0.7995576861771098,0.09632773880868695,0.6153371718124488,0.19483315811287816,0.5150181199587004,0.3119052017608175,0.23908320444557163,0.19021169997005685,0.06231351996787207,0.11405462565657982
dataset_a:imu_20260721_223637,dataset_a,BIBI,non_tremor,0,19,0,0.0035860850262237334,0.008025389917004331,0.0014328530970219478,0.0055794381853094075,0.0009497067169852397,0.0010442709724745448,0.0924930745427437,0.10790790759334579,0.3939393939393939,0.2525252525252525,-5.030355747608312,0.5682633568702871,5.0,2.25,0.17301579526952368,0.08452001673565118,0.8940075447636747,0.06855086155886658,0.7571517070311592,0.1363226060892775,0.333948144122445,0.3113433430299671,0.301290437237359,0.18030471297524076,0.18833060177844294,0.10730886454581999,0.6148252827353836,1.5630524456496881,0.24396457043777947,1.2172030533682447,0.16932050038210242,0.18767374374003448,13.260459592164437,17.264841083278263,0.3333333333333333,0.2525252525252525,-0.5444023980769972,0.47283700235086185,7.0,1.25,0.1871752750812346,0.042356757543421275,0.8721140437667023,0.03759625997747662,0.6893805791873818,0.21136913222720966,0.1945534809739145,0.21798154639641187,0.40740844507256363,0.17004282453322778,0.25648099697467347,0.21428685234360542
dataset_a:imu_20260721_223912,dataset_a,BIBI,non_tremor,0,19,0,0.007068754541941452,0.004490779418710785,0.0036597542346728366,0.002531165492227347,0.001989815060754945,0.0011161457648555689,0.1552080260870807,0.07323146917805501,0.25252525252525254,0.10101010101010105,-4.621086187402502,0.4701674354740808,4.0,1.0,0.21773770639148,0.09493585930245346,0.8536910874003156,0.10489689674810698,0.7291918785192186,0.12218996716826891,0.5603969188598643,0.3372610169637182,0.19998340953473534,0.19685927583638352,0.12594526178737414,0.06228634876431839,1.0156496518140523,0.939677249183612,0.48277721666772094,0.6707679108543466,0.2756359612283772,0.19147704186006032,22.951329297713606,22.72851608112337,0.23232323232323232,0.11111111111111108,-0.19776948072006345,0.5589772847209193,6.5,3.25,0.1586065358074228,0.04708538351095551,0.8922642430212451,0.029550235305450423,0.6739700814382716,0.10161046786109407,0.30434000957992796,0.18175612897800097,0.35318087635108114,0.1986752627119875,0.21524543356303277,0.10168116590480114
dataset_a:imu_20260721_223934,dataset_a,BIBI,non_tremor,0,19,0,0.007951886245928177,0.0020717769977594966,0.003974352119863854,0.001225274008992112,0.002301574278947077,0.0009785657399695663,0.17201165109881766,0.03657974847584744,0.2727272727272727,0.09090909090909088,-4.466305952150058,0.42890983648484493,4.5,2.0,0.18219929755952285,0.04308547764521467,0.8729321665282143,0.040530457580498,0.8060741760876867,0.09818919638240686,0.4638461647355192,0.29018029077023355,0.30121146243472213,0.19912473159318672,0.12191311265158475,0.05918907631429848,1.3169732514338786,0.47056538661353087,0.6908064735370227,0.2590178146925106,0.363481233912257,0.19910263713892873,26.014884566812725,9.654357777427556,0.2222222222222222,0.10101010101010102,-0.1320769843510615,0.4474726920869252,7.0,1.25,0.16914960888597194,0.07075319465644583,0.9030209602288412,0.06627632840337683,0.7484011088252931,0.10598394664485955,0.21251731704255944,0.13642127766818218,0.4044832654037952,0.16803616585615994,0.25870185347416397,0.1390280236375263
dataset_a:imu_20260721_223956,dataset_a,BIBI,non_tremor,0,19,0,0.008801458279880632,0.0057864610603544225,0.005220224021373265,0.0033911045105498344,0.0021285728251876877,0.00153851723442278,0.18430654753705988,0.057251399424190136,0.21212121212121213,0.11616161616161619,-4.4143694325655884,0.6015993471735284,4.0,1.0,0.20815211288751082,0.14427971307329457,0.8298936272956475,0.10039060415909073,0.7327210644101221,0.178729438846693,0.6155814706551778,0.30538944869825213,0.20083004965432588,0.18215224599489477,0.0738073804150268,0.06448239002436054,1.3784138277389826,1.6543092424443602,0.8281808362261454,1.320975714461444,0.3722906581616719,0.34723349006446674,26.601711766923977,31.29192315637738,0.1919191919191919,0.09595959595959597,-0.08529672334138569,0.776843366389167,7.0,4.0,0.1735087462163565,0.08001872255862327,0.8813095987990327,0.09855011255473145,0.5871634861043491,0.23554491751336726,0.39125607172341614,0.24510547963407947,0.3492573999601054,0.21646831423512083,0.1306880070504248,0.13054542746954909
dataset_a:imu_20260721_224325,dataset_a,BIBI,non_tremor,0,19,0,0.00355070902755986,0.0030058102482560752,0.0014695380918663373,0.0022367919378700352,0.0009507896763771796,0.0006899896484650992,0.0887636544130834,0.018045630830052076,0.35353535353535354,0.17676767676767674,-5.09739685441664,0.29996345344106956,6.0,2.0,0.17479720619272437,0.06366129103277518,0.879689424986082,0.08306362756245855,0.7047116941948615,0.14643029359113668,0.35132308790401245,0.25349154032615273,0.29981609716466945,0.1005439879658922,0.13074342740594466,0.1448686251764129,0.5665934146412429,1.1802252846250791,0.2728375092176946,0.8671750224784722,0.17872735374392906,0.17594548708555813,12.173788216842635,23.16331678959805,0.26262626262626265,0.14646464646464646,-0.6090948084113245,0.6113691626716318,6.5,2.25,0.16491756588023312,0.06579703130802264,0.8975023441340774,0.08252232699073259,0.7032075667843304,0.3608011827459802,0.2236013647328911,0.20833468121549054,0.3934086488375238,0.13739377158252702,0.15413999033485398,0.15708817952421864
dataset_a:imu_20260721_224347,dataset_a,BIBI,non_tremor,0,19,0,0.015843262771084634,0.015770372728414698,0.00878520162254915,0.007720369133015724,0.0047586842122335675,0.005033533709877358,0.28519601406237965,0.17728146158245572,0.16161616161616163,0.06565656565656566,-4.0367050924283845,0.9090435539826411,4.5,1.25,0.20881205901497665,0.055005344207384926,0.8145203321398147,0.11295071800335355,0.7179330016418578,0.3160699816076695,0.5727351728537227,0.3348360622881903,0.17042310855901605,0.16002823802268298,0.0688630958232268,0.06590878671185012,3.1392648655085447,3.7418325794301572,1.8909021297265265,2.337821368515048,0.77835158418591,1.4241325305750456,52.30019215253655,62.079283503949405,0.1717171717171717,0.12626262626262627,0.49969981073910263,1.2060380869486045,5.0,3.25,0.18747550125341741,0.0771707189496533,0.8355693670611688,0.10032734496257922,0.7069302977710038,0.3841242738354287,0.45339554002611543,0.4536156950482786,0.2232109883970703,0.2514888246412854,0.13969482051306928,0.11489047728174505
dataset_a:imu_20260721_224411,dataset_a,BIBI,non_tremor,0,19,0,0.019062244291504823,0.024269870378831312,0.01234190712218123,0.019771701196643777,0.006042826315276405,0.0036897240140115767,0.4532314362969502,0.42156347326153754,0.21212121212121213,0.08585858585858586,-3.5157148217133414,0.8247100156647571,4.0,1.0,0.28010308436239856,0.10047468070242235,0.7226383441057368,0.10726152162731917,0.778704720476741,0.17796733154973965,0.8047099001983321,0.15155005934569998,0.10919684947528085,0.05006318559595373,0.0462975316925622,0.03345621114790673,3.2286170491768718,5.052856077444518,1.8759557493829917,4.044890469319287,0.9563976842106608,0.9876225992419144,77.8997922934247,91.36476565539839,0.20202020202020202,0.16161616161616163,0.7539283987586299,1.0218411872608724,4.5,2.5,0.18813800330784264,0.0745749504500525,0.8324952157948511,0.061573287770027574,0.7557679921996577,0.33231447014249227,0.5313173742954368,0.35964524208450777,0.2515400615985631,0.20525922107348843,0.09393606005607003,0.13320190695896544
dataset_a:imu_20260721_224433,dataset_a,BIBI,non_tremor,0,19,0,0.010093962244109153,0.009840642359980153,0.005277389457774934,0.0051046819344620605,0.002064839806906838,0.00264796097095065,0.14980834265178564,0.1149207446065278,0.18181818181818182,0.1414141414141414,-4.5671565276431965,0.8800390408827905,4.5,1.25,0.17501732891979094,0.06970260608329343,0.8402527671673768,0.12869565824969154,0.6968841757425435,0.10666807653833754,0.5295133830418354,0.24937753706810206,0.27985448883194425,0.12838122677687341,0.07685888449821165,0.07862634487469047,1.8015559024391812,1.9547170215037197,1.2334486309098622,1.223418209904326,0.426750947309683,0.44028019944503516,22.327326260031793,20.629152595774787,0.12121212121212122,0.12121212121212122,-0.14652607605562054,0.8053664959304954,4.0,4.5,0.21868544739114967,0.09937582927535632,0.8553281055149617,0.10273470166117216,0.4342317814140788,0.25535555871258586,0.3408039175159535,0.30961185385018763,0.38954446650029423,0.15159044566476498,0.11862998253134494,0.10885978714093203
dataset_a:imu_20260721_224454,dataset_a,BIBI,non_tremor,0,19,0,0.02455086919587018,0.011168704393581329,0.013330444792885055,0.006545132451302182,0.006711422689289874,0.006915437532666239,0.2758744537057708,0.10940375227906038,0.13131313131313133,0.05050505050505051,-4.06213891556929,0.8029142181996969,4.0,1.5,0.2540245633210673,0.16233098981647387,0.7290716115678336,0.1661434490528031,0.40545892860525834,0.31683137727169014,0.7619652536734751,0.2593481294250011,0.13374102307422425,0.17093859315371163,0.0359127538725738,0.048454466881484644,5.904570630262904,3.3252455026744134,3.5118605518895016,1.689599532985405,1.4977881813933236,1.1714808168498425,61.33295460154121,35.085807544111375,0.10101010101010101,0.0404040404040404,0.7503437804285854,1.0168007152469374,4.0,2.0,0.24323910162464812,0.1708715921462809,0.732973532243221,0.1627876706256728,0.28981183707537617,0.27606086897013116,0.6237876060574515,0.3252384722494893,0.21151500821173985,0.21858074214666162,0.029398715452375882,0.034692968691394814
